Month,Year,Sydney ,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
9,2003,13969,8010,5754,1935,2927,477,367,1023
12,2003,9830,6753,3663,1684,2517,329,372,921
3,2004,7610,5546,3160,1770,2811,407,272,789
6,2004,10106,6178,2924,1694,2262,336,341,655
9,2004,8179,6658,3188,1990,3193,287,387,727
12,2004,8506,7071,3031,1693,2887,267,337,770
3,2005,6743,6617,2761,1785,3289,239,374,705
6,2005,8076,7434,2789,1665,3194,242,322,832
9,2005,8566,7295,2842,1704,3396,297,361,778
12,2005,7810,7369,2706,1840,3304,301,399,845
3,2006,7690,6237,3157,1778,3499,365,354,793
6,2006,9547,7092,3246,1988,2903,317,324,1006
9,2006,8849,7461,3397,2011,2810,337,340,915
12,2006,8884,7587,3314,1886,2226,318,306,945
3,2007,9065,8296,4020,2135,2428,406,406,1076
6,2007,11923,10408,4227,2196,2206,394,450,1136
9,2007,11817,11507,4321,2136,2041,414,452,959
12,2007,11523,11227,3686,2029,2106,311,375,1022
3,2008,8753,7886,2691,1834,1901,325,348,776
6,2008,9971,8465,2198,1662,1478,267,296,965
9,2008,9828,7748,2450,1788,1643,251,367,758
12,2008,10127,7470,2463,1720,1406,320,328,715
3,2009,11641,7684,3162,1865,1989,436,421,849
6,2009,13995,9685,3246,1898,2376,348,441,1165
9,2009,16289,11517,3820,1818,2842,418,463,1347
12,2009,11800,9724,3206,1770,2383,335,316,1043
3,2010,9925,9015,2960,1605,2496,296,285,878
6,2010,12183,9884,2823,1665,1815,279,296,1509
9,2010,11407,9544,2618,1615,1810,276,276,955
12,2010,10797,7410,2348,1554,1856,315,221,1108
3,2011,9188,5680,2039,1519,1968,294,191,1103
6,2011,10384,7118,2064,1522,1861,278,241,1146
9,2011,10565,6375,2397,1371,1767,217,208,871
12,2011,13108,6840,2619,1276,1989,177,266,896
3,2012,7821,5399,2858,1279,2143,242,323,816
6,2012,10331,6314,2684,1254,1968,211,327,854
9,2012,9633,6167,3008,1306,2201,260,422,885
12,2012,10716,6785,2897,1400,2173,206,352,871
3,2013,10022,5978,2888,1514,2537,272,346,760
6,2013,11976,7411,3296,1533,2540,285,329,876
9,2013,13263,6987,3583,1507,2579,270,358,895
12,2013,12353,7967,3647,1581,2592,295,351,808
3,2014,12721,10203,4557,1514,3026,313,329,759
6,2014,14466,12328,4788,1665,2908,314,375,931
9,2014,13328,11956,4979,1744,2798,270,397,887
12,2014,14730,11872,4576,1608,2459,320,394,1027
3,2015,12507,10877,4537,1692,2654,303,316,924
6,2015,15127,15487,5159,1952,2295,335,287,1076
9,2015,14807,11607,5201,1698,1953,298,263,1081
12,2015,11733,11064,4358,1733,2066,311,311,1154
3,2016,8920,8187,3801,1682,1968,320,205,837
6,2016,10590,10671,3584,2008,1982,334,230,1163
9,2016,10672,9634,3480,1608,1896,296,294,1064
12,2016,11420,10814,3088,1639,1914,362,188,1319
3,2017,10118,9116,3133,1644,2174,415,189,1065
6,2017,11180,12623,2846,1906,2010,347,173,1144
9,2017,11380,10153,2746,1711,1988,402,150,948
12,2017,9741,10399,2607,2032,2071,342,168,980
3,2018,8076,8689,2604,1623,2113,362,143,878
6,2018,9466,11413,2760,1786,1913,375,140,1091
9,2018,7933,9080,2648,1701,1965,359,155,942
12,2018,7301,8497,2455,1701,1797,366,125,1043
3,2019,6344,7512,2346,1861,1849,341,120,739
6,2019,8489,9095,2265,1843,1738,348,170,855
9,2019,10383,9594,2755,1751,1974,333,157,1095
12,2019,10963,11399,2796,1807,2076,330,155,1242
3,2020,8960,8764,2830,1671,2027,312,129,1015
6,2020,7010,7441,2100,1645,1745,248,142,1009
9,2020,10394,5485,3162,1984,2466,347,117,1468
12,2020,11243,11690,3759,1908,3102,362,129,1774
3,2021,9887,10715,4515,2356,3266,358,133,1322
6,2021,9558,10107,4781,2498,2705,287,226,1501
9,2021,8443,7082,5698,2389,2878,293,238,1330
12,2021,9328,10691,5679,2577,2833,343,189,1562
3,2022,7367,7947,5489,2395,3122,308,232,1081
6,2022,6969,8530,5055,2310,2846,307,271,1297
9,2022,6906,7674,4835,2042,2698,255,264,1214
12,2022,8240,7653,3968,1871,2773,206,223,779